iter	Passed	Remaining
1405	2472	67862
1406	2473	67856
1407	2475	67850
1408	2477	67844
1409	2478	67838
1410	2481	67853
1411	2482	67846
1412	2484	67839
1413	2485	67835
1414	2487	67833
1415	2489	67832
1416	2491	67827
1417	2492	67825
1418	2494	67818
1419	2496	67816
1420	2497	67814
1421	2499	67811
1422	2501	67816
1423	2503	67812
1424	2504	67809
1425	2506	67807
1426	2508	67808
1427	2510	67802
1428	2511	67801
1429	2513	67794
1430	2515	67790
1431	2517	67795
1432	2518	67792
1433	2520	67792
1434	2522	67790
1435	2524	67787
1436	2525	67786
1437	2527	67789
1438	2529	67787
1439	2531	67788
1440	2533	67784
1441	2534	67779
1442	2536	67778
1443	2538	67776
1444	2540	67773
1445	2541	67771
1446	2543	67763
1447	2545	67760
1448	2546	67761
1449	2548	67761
1450	2550	67760
1451	2552	67756
1452	2553	67753
1453	2555	67747
1454	2557	67744
1455	2559	67749
1456	2560	67744
1457	2562	67738
1458	2564	67735
1459	2565	67734
1460	2567	67729
1461	2569	67727
1462	2571	67725
1463	2572	67723
1464	2574	67721
1465	2576	67719
1466	2578	67715
1467	2579	67711
1468	2581	67708
1469	2583	67703
1470	2584	67699
1471	2586	67696
1472	2588	67696
1473	2589	67694
1474	2591	67689
1475	2593	67685
1476	2594	67679
1477	2596	67674
1478	2598	67675
1479	2600	67674
1480	2602	67677
1481	2603	67678
1482	2605	67674
1483	2607	67669
1484	2608	67666
1485	2610	67662
1486	2612	67662
1487	2614	67658
1488	2615	67654
1489	2617	67652
1490	2619	67645
1491	2620	67641
1492	2622	67639
1493	2624	67636
1494	2626	67638
1495	2627	67633
1496	2631	67674
1497	2633	67678
1498	2634	67673
1499	2636	67675
1500	2638	67675
1501	2640	67669
1502	2641	67667
1503	2643	67664
1504	2645	67664
1505	2647	67659
1506	2648	67655
1507	2650	67649
1508	2651	67645
1509	2653	67642
1510	2655	67639
1511	2657	67634
1512	2658	67627
1513	2660	67622
1514	2661	67621
1515	2663	67616
1516	2665	67610
1517	2666	67607
1518	2668	67603
1519	2670	67597
1520	2671	67591
1521	2673	67585
1522	2674	67579
1523	2676	67574
1524	2678	67570
1525	2679	67566
1526	2681	67568
1527	2683	67569
1528	2685	67563
1529	2686	67557
1530	2688	67553
1531	2690	67550
1532	2691	67543
1533	2693	67537
1534	2694	67531
1535	2696	67525
1536	2698	67525
1537	2699	67518
1538	2701	67523
1539	2703	67520
1540	2705	67514
1541	2707	67515
1542	2708	67512
1543	2710	67507
1544	2712	67505
1545	2713	67502
1546	2715	67496
1547	2717	67495
1548	2718	67491
1549	2720	67487
1550	2722	67481
1551	2723	67475
1552	2725	67468
1553	2726	67465
1554	2728	67462
1555	2730	67460
1556	2732	67455
1557	2733	67452
1558	2735	67447
1559	2737	67445
1560	2738	67440
1561	2740	67437
1562	2743	67459
1563	2744	67454
1564	2746	67450
1565	2748	67444
1566	2749	67436
1567	2751	67435
1568	2753	67434
1569	2754	67431
1570	2756	67430
1571	2758	67423
1572	2759	67420
1573	2761	67417
1574	2763	67414
1575	2764	67410
1576	2766	67406
1577	2768	67404
1578	2770	67401
1579	2771	67396
1580	2773	67390
1581	2774	67388
1582	2776	67384
1583	2778	67382
1584	2780	67378
1585	2781	67375
1586	2783	67375
1587	2785	67372
1588	2786	67369
1589	2788	67368
1590	2790	67364
1591	2792	67361
1592	2793	67355
1593	2795	67350
1594	2796	67344
1595	2798	67344
1596	2800	67338
1597	2802	67337
1598	2803	67330
1599	2805	67326
1600	2806	67322
1601	2808	67326
1602	2810	67323
1603	2812	67319
1604	2814	67316
1605	2815	67314
1606	2817	67310
1607	2819	67309
1608	2820	67307
1609	2822	67300
1610	2824	67294
1611	2825	67290
1612	2827	67285
1613	2828	67278
1614	2830	67273
1615	2832	67269
1616	2833	67264
1617	2835	67264
1618	2837	67260
1619	2838	67256
1620	2840	67253
1621	2842	67247
1622	2843	67245
1623	2845	67240
1624	2847	67235
1625	2848	67235
1626	2850	67228
1627	2852	67226
1628	2853	67222
1629	2855	67229
1630	2857	67225
1631	2859	67219
1632	2861	67220
1633	2862	67219
1634	2864	67212
1635	2865	67206
1636	2867	67203
1637	2869	67197
1638	2871	67197
1639	2872	67194
1640	2874	67191
1641	2876	67188
1642	2877	67183
1643	2879	67182
1644	2881	67179
1645	2883	67179
1646	2884	67175
1647	2886	67174
1648	2888	67172
1649	2890	67173
1650	2891	67170
1651	2893	67170
1652	2895	67166
1653	2897	67165
1654	2898	67163
1655	2900	67162
1656	2902	67157
1657	2904	67157
1658	2905	67159
1659	2907	67156
1660	2909	67151
1661	2911	67149
1662	2912	67144
1663	2914	67138
1664	2915	67135
1665	2917	67138
1666	2919	67135
1667	2921	67130
1668	2922	67128
1669	2924	67122
1670	2926	67120
1671	2927	67115
1672	2929	67111
1673	2931	67105
1674	2932	67105
1675	2934	67100
1676	2936	67097
1677	2937	67094
1678	2939	67092
1679	2941	67089
1680	2942	67085
1681	2944	67081
1682	2946	67074
1683	2947	67073
1684	2949	67071
1685	2951	67067
1686	2953	67067
1687	2954	67065
1688	2956	67061
1689	2958	67057
1690	2959	67052
1691	2961	67049
1692	2963	67047
1693	2964	67045
1694	2966	67041
1695	2968	67036
1696	2969	67034
1697	2971	67030
1698	2973	67025
1699	2974	67021
1700	2976	67016
1701	2978	67013
1702	2979	67013
1703	2981	67012
1704	2983	67007
1705	2984	67002
1706	2986	66998
1707	2988	66997
1708	2989	66992
1709	2991	66990
1710	2993	66988
1711	2995	66983
1712	2996	66977
1713	2998	66977
1714	3000	66976
1715	3001	66973
1716	3004	66978
